Patch ID,Patch Area (m2),Lower Spp Richness,Upper Spp Richness,Number of Interactions,Connectance,Dataset,Type,Type2,Connectivity
1,79807837,3,3,4,44.44444,Sandor,seed_dispersal,mutualist,continuous
3,168768118,6,7,15,35.71429,Sandor,seed_dispersal,mutualist,continuous
12,201737830,6,12,26,36.11111,Sandor,seed_dispersal,mutualist,continuous
13,267421684,12,17,59,28.92157,Sandor,seed_dispersal,mutualist,continuous
52,157355584,5,9,17,37.77778,Sandor,seed_dispersal,mutualist,continuous
84,241930563,4,5,7,35.00000,Sandor,seed_dispersal,mutualist,continuous
101,178785449,5,15,32,42.66667,Sandor,seed_dispersal,mutualist,continuous
112,280486071,4,6,9,37.50000,Sandor,seed_dispersal,mutualist,continuous
115,79455490,4,6,10,41.66667,Sandor,seed_dispersal,mutualist,continuous
134,91019560,3,3,4,44.44444,Sandor,seed_dispersal,mutualist,continuous
137,81485238,5,7,12,34.28571,Sandor,seed_dispersal,mutualist,continuous
139,86412785,6,6,19,31.66667,Sandor,seed_dispersal,mutualist,continuous
MUEH,51395,19,41,82,10.52631579,Grass_pollin,pollination,mutualist,discrete
HUHN,38776,25,40,83,8.3,Grass_pollin,pollination,mutualist,discrete
ELLE,35856,34,39,94,7.088989442,Grass_pollin,pollination,mutualist,discrete
ASCH,29400,24,44,101,9.564393939,Grass_pollin,pollination,mutualist,discrete
MACK,19440,31,30,94,10.10752688,Grass_pollin,pollination,mutualist,discrete
LENG,16000,24,46,93,8.423913043,Grass_pollin,pollination,mutualist,discrete
TIEF,12600,30,30,90,10,Grass_pollin,pollination,mutualist,discrete
DEHN,11528,24,38,87,9.539473684,Grass_pollin,pollination,mutualist,discrete
BURG,7887,26,27,70,9.971509972,Grass_pollin,pollination,mutualist,discrete
OSSE,7420,28,30,78,9.285714286,Grass_pollin,pollination,mutualist,discrete
GRAB,6862,23,32,74,10.05434783,Grass_pollin,pollination,mutualist,discrete
HACK,6338,25,28,77,11,Grass_pollin,pollination,mutualist,discrete
GLAD,4964,18,27,54,11.11111111,Grass_pollin,pollination,mutualist,discrete
RIES,4526,23,36,93,11.23188406,Grass_pollin,pollination,mutualist,discrete
KNUE,3843,13,28,58,15.93406593,Grass_pollin,pollination,mutualist,discrete
ROT,3760,27,20,57,10.55555556,Grass_pollin,pollination,mutualist,discrete
KUH,3207,19,34,69,10.68111455,Grass_pollin,pollination,mutualist,discrete
WEIN,2444,22,27,73,12.28956229,Grass_pollin,pollination,mutualist,discrete
SCHW,2287,14,37,63,12.16216216,Grass_pollin,pollination,mutualist,discrete
ESCH,1914,23,35,66,8.198757764,Grass_pollin,pollination,mutualist,discrete
EMME,1326,23,35,68,8.447204969,Grass_pollin,pollination,mutualist,discrete
GIES,1133,22,21,45,9.74025974,Grass_pollin,pollination,mutualist,discrete
HEIK,1123,17,17,32,11.07266436,Grass_pollin,pollination,mutualist,discrete
HOPF,920,16,17,32,11.76470588,Grass_pollin,pollination,mutualist,discrete
KLMU,775,14,11,26,16.88311688,Grass_pollin,pollination,mutualist,discrete
KLEE,661,16,24,46,11.97916667,Grass_pollin,pollination,mutualist,discrete
ZIPF,493,17,17,39,13.49480969,Grass_pollin,pollination,mutualist,discrete
LIES,489,19,20,36,9.473684211,Grass_pollin,pollination,mutualist,discrete
NIED,459,15,11,28,16.96969697,Grass_pollin,pollination,mutualist,discrete
DAHL,437,11,18,30,15.15151515,Grass_pollin,pollination,mutualist,discrete
STAP,329,9,10,17,18.88888889,Grass_pollin,pollination,mutualist,discrete
LIND,314,11,19,32,15.31100478,Grass_pollin,pollination,mutualist,discrete
MUEH,51395,13,11,21,14.68531469,Grass_host-par,host-parasite,antagoist,discrete
HUHN,38776,11,10,15,13.63636364,Grass_host-par,host-parasite,antagoist,discrete
ELLE,35856,3,5,6,40,Grass_host-par,host-parasite,antagoist,discrete
ASCH,29400,8,6,11,22.91666667,Grass_host-par,host-parasite,antagoist,discrete
MACK,19440,8,6,10,20.83333333,Grass_host-par,host-parasite,antagoist,discrete
LENG,16000,6,4,7,29.16666667,Grass_host-par,host-parasite,antagoist,discrete
TIEF,12600,9,8,14,19.44444444,Grass_host-par,host-parasite,antagoist,discrete
DEHN,11528,8,4,11,34.375,Grass_host-par,host-parasite,antagoist,discrete
BURG,7887,9,8,15,20.83333333,Grass_host-par,host-parasite,antagoist,discrete
OSSE,7420,11,6,13,19.6969697,Grass_host-par,host-parasite,antagoist,discrete
GRAB,6862,9,9,13,16.04938272,Grass_host-par,host-parasite,antagoist,discrete
HACK,6338,5,6,6,20,Grass_host-par,host-parasite,antagoist,discrete
GLAD,4964,6,4,6,25,Grass_host-par,host-parasite,antagoist,discrete
RIES,4526,15,8,18,15,Grass_host-par,host-parasite,antagoist,discrete
KNUE,3843,8,6,11,22.91666667,Grass_host-par,host-parasite,antagoist,discrete
ROT,3760,12,7,18,21.42857143,Grass_host-par,host-parasite,antagoist,discrete
KUH,3207,10,9,18,20,Grass_host-par,host-parasite,antagoist,discrete
WEIN,2444,10,9,14,15.55555556,Grass_host-par,host-parasite,antagoist,discrete
SCHW,2287,6,4,6,25,Grass_host-par,host-parasite,antagoist,discrete
ESCH,1914,8,8,11,17.1875,Grass_host-par,host-parasite,antagoist,discrete
EMME,1326,12,8,19,19.79166667,Grass_host-par,host-parasite,antagoist,discrete
GIES,1133,6,5,6,20,Grass_host-par,host-parasite,antagoist,discrete
HEIK,1123,6,5,9,30,Grass_host-par,host-parasite,antagoist,discrete
HOPF,920,12,6,17,23.61111111,Grass_host-par,host-parasite,antagoist,discrete
KLMU,775,4,3,6,50,Grass_host-par,host-parasite,antagoist,discrete
KLEE,661,5,4,6,30,Grass_host-par,host-parasite,antagoist,discrete
ZIPF,493,2,2,2,50,Grass_host-par,host-parasite,antagoist,discrete
LIES,489,8,7,11,19.64285714,Grass_host-par,host-parasite,antagoist,discrete
NIED,459,6,4,6,25,Grass_host-par,host-parasite,antagoist,discrete
DAHL,437,9,10,17,18.88888889,Grass_host-par,host-parasite,antagoist,discrete
STAP,329,6,5,7,23.33333333,Grass_host-par,host-parasite,antagoist,discrete
LIND,314,11,6,13,19.6969697,Grass_host-par,host-parasite,antagoist,discrete
1,1010,13,14,30,16.48351648,Guardiola,larvae-plant,antagoist,discrete
2,5000,18,19,43,12.57309942,Guardiola,larvae-plant,antagoist,discrete
3,3390,10,14,27,19.28571429,Guardiola,larvae-plant,antagoist,discrete
4,31050,11,10,22,20,Guardiola,larvae-plant,antagoist,discrete
5,192760,21,25,58,11.04761905,Guardiola,larvae-plant,antagoist,discrete
6,71940,15,16,39,16.25,Guardiola,larvae-plant,antagoist,discrete
7,2320,12,9,23,21.2962963,Guardiola,larvae-plant,antagoist,discrete
8,6770,12,14,31,18.45238095,Guardiola,larvae-plant,antagoist,discrete
9,11910,19,23,43,9.839816934,Guardiola,larvae-plant,antagoist,discrete
10,268450,28,26,72,9.89010989,Guardiola,larvae-plant,antagoist,discrete
11,207440,25,29,81,11.17241379,Guardiola,larvae-plant,antagoist,discrete
12,34120,22,28,64,10.38961039,Guardiola,larvae-plant,antagoist,discrete
13,4000,10,12,28,23.33333333,Guardiola,larvae-plant,antagoist,discrete
14,3970,15,17,34,13.33333333,Guardiola,larvae-plant,antagoist,discrete
15,40030,11,16,32,18.18181818,Guardiola,larvae-plant,antagoist,discrete
16,108770,19,19,39,10.8033241,Guardiola,larvae-plant,antagoist,discrete
17,6290,12,12,27,18.75,Guardiola,larvae-plant,antagoist,discrete
18,154410,29,28,67,8.251231527,Guardiola,larvae-plant,antagoist,discrete
19,181650,22,21,58,12.55411255,Guardiola,larvae-plant,antagoist,discrete
20,13360,25,27,66,9.777777778,Guardiola,larvae-plant,antagoist,discrete
21,46260,25,30,81,10.8,Guardiola,larvae-plant,antagoist,discrete
22,2520,8,14,38,33.92857143,Guardiola,larvae-plant,antagoist,discrete
23,7430,9,9,23,28.39506173,Guardiola,larvae-plant,antagoist,discrete
24,13820,8,10,21,26.25,Guardiola,larvae-plant,antagoist,discrete
25,3390,14,14,31,15.81632653,Guardiola,larvae-plant,antagoist,discrete
26,5920,6,8,16,33.33333333,Guardiola,larvae-plant,antagoist,discrete
Espanola,1000000,11,16,31,17.61363636,Nnakenyi,pollination,mutualist,islands
Fernandina,1000000,18,60,125,11.57407407,Nnakenyi,pollination,mutualist,islands
Floreana,1000000,11,4,13,29.54545455,Nnakenyi,pollination,mutualist,islands
Genovesa,1000000,16,37,64,10.81081081,Nnakenyi,pollination,mutualist,islands
Isabela,1000000,12,16,28,14.58333333,Nnakenyi,pollination,mutualist,islands
Marchena,1000000,8,14,20,17.85714286,Nnakenyi,pollination,mutualist,islands
Pinta,1000000,21,76,134,8.395989975,Nnakenyi,pollination,mutualist,islands
San Cristobal,1000000,21,93,234,11.98156682,Nnakenyi,pollination,mutualist,islands
Santa Cruz,1000000,23,76,215,12.29977117,Nnakenyi,pollination,mutualist,islands
Santiago,1000000,24,69,167,10.08454106,Nnakenyi,pollination,mutualist,islands
1,23990000,12,16,66,34.375,Sugiura,ant-plant,mutualist,islands
2,20800000,14,13,56,30.76923077,Sugiura,ant-plant,mutualist,islands
3,7850000,6,11,26,39.39393939,Sugiura,ant-plant,mutualist,islands
4,1450000,6,8,22,45.83333333,Sugiura,ant-plant,mutualist,islands
5,490000,4,8,20,62.5,Sugiura,ant-plant,mutualist,islands
